companyNumber,companyJurisdiction,companyName,officerName,Appears,same,officerPosition,officerStartDate,officerEndDate,officerNationality,officerOccupation
7442789,gb,THE DE FERRERS TRUST,DAVID JOHN MOSS,2,FALSE,director,22/10/13,,,ACCOUNTANT
7652476,gb,TREWIRGIE JUNIOR SCHOOL,DAVID MARK VICTOR,2,TRUE,director,31/05/11,,,CIVIL SERVANT
7652476,gb,TREWIRGIE JUNIOR SCHOOL,DAVID MARK VICTOR,2,FALSE,director,31/05/11,01/04/16,,CIVIL SERVANT
6864339,gb,GREENWOOD ACADEMIES TRUST,DAVID PAUL ROBERTS,2,TRUE,director,08/10/10,04/07/14,,FORMER MANAGING DIRECTOR
6864339,gb,GREENWOOD ACADEMIES TRUST,DAVID PAUL ROBERTS,2,FALSE,director,25/03/10,08/07/10,,MANAGING DIRECTOR
7700556,gb,LONGFIELD ACADEMY TRUST,DAWN WALLACE,2,TRUE,director,23/01/14,,,HR ASSISTANT
7700556,gb,LONGFIELD ACADEMY TRUST,DAWN WALLACE,2,FALSE,director,23/01/14,17/08/16,,HR ASSISTANT
7565242,gb,PENINSULA LEARNING TRUST,DEBORAH CLAIRE WILSHIRE,2,FALSE,director,28/11/13,02/09/14,,EDUCATION MANAGEMENT
8418341,gb,ACORN ACADEMY CORNWALL,DEBORAH CLAIRE WILSHIRE,2,FALSE,director,11/01/16,,,COMPANY DIRECTOR
6625091,gb,ACADEMIES ENTERPRISE TRUST,EDWARD JEREMY GLAZIER,2,TRUE,director,01/04/09,,,EDUCATION
6625091,gb,ACADEMIES ENTERPRISE TRUST,EDWARD JEREMY GLAZIER,2,FALSE,director,01/04/09,25/05/16,,EDUCATION
6544825,gb,SENTAMU ACADEMY LEARNING TRUST,ELIZABETH ANN MCGUIRE,2,FALSE,director,09/06/16,,,ASSOCIATE PRINCIPAL LECTURER
8399801,gb,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,ELIZABETH ANN MCGUIRE,2,FALSE,director,21/10/14,,,ASSOCIATE PRINCIPAL LECTURER IN EDUCATIO
7491215,gb,MAGNA LEARNING TRUST,EMMA BOOTY,2,TRUE,director,13/01/11,05/10/15,,ACCOUNTANT
7491215,gb,MAGNA LEARNING TRUST,EMMA BOOTY,2,FALSE,director,07/12/15,,,ACCOUNTANT
8440868,gb,THE WYTHENSHAWE CATHOLIC ACADEMY TRUST,FIONA MINSHALL,2,TRUE,director,01/09/13,,,HEAD TEACHER
8440868,gb,THE WYTHENSHAWE CATHOLIC ACADEMY TRUST,FIONA MINSHALL,2,FALSE,director,01/09/13,31/08/16,,HEAD TEACHER
6182612,gb,THE DAVID ROSS EDUCATION TRUST,FREDERICK WILLIAM WOOD,2,TRUE,secretary,26/03/07,01/01/10,,CONSULTANT
6182612,gb,THE DAVID ROSS EDUCATION TRUST,FREDERICK WILLIAM WOOD,2,FALSE,director,26/03/07,31/08/12,,CONSULTANT
7493622,gb,QED ACADEMY TRUST,GEOFF TERENCE COOPER,2,TRUE,director,14/01/11,24/09/14,,NONE
7493622,gb,QED ACADEMY TRUST,GEOFF TERENCE COOPER,2,FALSE,director,08/10/14,,,RETIRED
8028375,gb,SPIRAL PARTNERSHIP TRUST,HANNAH LOUISE WITTY,2,TRUE,director,02/03/15,,,ACCOUNTANT
8028375,gb,SPIRAL PARTNERSHIP TRUST,HANNAH LOUISE WITTY,2,FALSE,director,02/03/15,16/12/15,,ACCOUNTANT
8098007,gb,THE ASCENT ACADEMIES' TRUST,HELEN ANNE GRAHAM,2,TRUE,director,17/01/13,02/04/14,,RETIRED CIVIL SERVANT
8098007,gb,THE ASCENT ACADEMIES' TRUST,HELEN ANNE GRAHAM,2,FALSE,director,15/10/14,24/04/15,,RETIRED
8438686,gb,PLYMOUTH CAST,HELEN BROWN,2,TRUE,director,20/11/13,,,HEADMISTRESS
8438686,gb,PLYMOUTH CAST,HELEN BROWN,2,FALSE,director,20/11/13,31/12/15,,HEADMISTRESS
8248173,gb,KIRK SANDALL ACADEMY TRUST,HELEN JEAN REDFORD-HERNANDEZ,2,FALSE,director,01/03/15,,,HEADTEACHER
8195720,gb,THE WHITE HILLS PARK FEDERATION TRUST,HELEN JEAN REDFORD-HERNANDEZ,2,FALSE,director,12/11/12,31/08/13,,HEAD OF SCHOOL
7652476,gb,TREWIRGIE JUNIOR SCHOOL,IAIN MICHAEL WALKER,2,TRUE,director,10/10/13,,,TEACHER
7652476,gb,TREWIRGIE JUNIOR SCHOOL,IAIN MICHAEL WALKER,2,FALSE,director,10/10/13,22/09/15,,TEACHER
6625091,gb,ACADEMIES ENTERPRISE TRUST,IAN ARTHUR FOSTER,2,TRUE,director,19/06/08,,,COMPANY DIRECTOR
6625091,gb,ACADEMIES ENTERPRISE TRUST,IAN ARTHUR FOSTER,2,FALSE,director,19/06/08,25/05/16,,COMPANY DIRECTOR
7386086,gb,SCHOOL PARTNERSHIP TRUST ACADEMIES,IAN GARFORTH,2,TRUE,director,07/10/14,,,DIRECTOR
7386086,gb,SCHOOL PARTNERSHIP TRUST ACADEMIES,IAN GARFORTH,2,FALSE,director,23/09/10,17/12/12,,NONE
6625091,gb,ACADEMIES ENTERPRISE TRUST,IAN THOMAS COMFORT,2,TRUE,secretary,25/04/12,01/09/13,,
6625091,gb,ACADEMIES ENTERPRISE TRUST,IAN THOMAS COMFORT,2,FALSE,director,01/09/13,,,GROUP CHIEF EXECUTIVE
7633694,gb,GREENSHAW LEARNING TRUST,INGRID PERCY,2,TRUE,director,01/06/11,15/01/12,,STRATEGIC HR ADVISOR
7633694,gb,GREENSHAW LEARNING TRUST,INGRID PERCY,2,FALSE,director,10/06/16,,,STRATEGIC WORKFORCE PLANNER
8438686,gb,PLYMOUTH CAST,JACQUELINE ANNE SCARBOROUGH,2,TRUE,director,20/11/13,,,HEADMISTRESS
8438686,gb,PLYMOUTH CAST,JACQUELINE ANNE SCARBOROUGH,2,FALSE,director,20/11/13,31/12/15,,HEADMISTRESS
7442789,gb,THE DE FERRERS TRUST,JACQUI BOTTEN,2,TRUE,director,01/09/11,03/09/15,,RETIRED TEACHER
7442789,gb,THE DE FERRERS TRUST,JACQUI BOTTEN,2,FALSE,director,17/11/10,31/08/11,,TEACHER
2336587,gb,LEIGH ACADEMIES TRUST,JAMES DAVID LAURENCE DICKSON,2,TRUE,director,26/06/13,,,PORTFOLIO MANAGER
2336587,gb,LEIGH ACADEMIES TRUST,JAMES DAVID LAURENCE DICKSON,2,FALSE,director,26/06/13,31/08/16,,PORTFOLIO MANAGER
8149829,gb,EMLC ACADEMY TRUST,JAN MARSHALL,2,TRUE,director,19/07/12,,,CEO
8149829,gb,EMLC ACADEMY TRUST,JAN MARSHALL,2,FALSE,director,19/07/12,12/07/16,,CEO
8441736,gb,FREEMAN'S ENDOWED CHURCH OF ENGLAND JUNIOR ACADEMY,JANIS ZAKIS,2,TRUE,director,12/03/13,,,HEAD TEACHER
8441736,gb,FREEMAN'S ENDOWED CHURCH OF ENGLAND JUNIOR ACADEMY,JANIS ZAKIS,2,FALSE,director,12/03/13,31/08/16,,HEAD TEACHER
8146661,gb,THE PAINSLEY CATHOLIC ACADEMY,JOANNE LOUISE BRADBURY,2,TRUE,secretary,17/07/12,,,
8146661,gb,THE PAINSLEY CATHOLIC ACADEMY,JOANNE LOUISE BRADBURY,2,FALSE,director,17/07/12,29/08/12,,BUSINESS MANAGER
7557670,gb,THE ACADEMY OF LINCOLN TRUST,JOHN EDWARD EVANS,2,TRUE,director,17/11/11,,,RETIRED
7557670,gb,THE ACADEMY OF LINCOLN TRUST,JOHN EDWARD EVANS,2,FALSE,director,17/11/11,08/06/16,,RETIRED
7697158,gb,WEST KIRBY GRAMMAR SCHOOL,JOHN GRAHAM DUFFY,2,TRUE,secretary,07/07/15,,,
7697158,gb,WEST KIRBY GRAMMAR SCHOOL,JOHN GRAHAM DUFFY,2,FALSE,secretary,07/07/15,30/06/16,,
8440868,gb,THE WYTHENSHAWE CATHOLIC ACADEMY TRUST,JOHN GRETTON,2,TRUE,director,19/06/13,,,RETIRED HEAD TEACHER
8440868,gb,THE WYTHENSHAWE CATHOLIC ACADEMY TRUST,JOHN GRETTON,2,FALSE,director,19/06/13,18/12/15,,RETIRED HEAD TEACHER
8253770,gb,THE BISHOP KONSTANT CATHOLIC ACADEMY TRUST,JOHN KNOWLES,2,TRUE,director,01/09/15,,,HEADTEACHER
8253770,gb,THE BISHOP KONSTANT CATHOLIC ACADEMY TRUST,JOHN KNOWLES,2,FALSE,director,01/09/15,22/07/16,,HEADTEACHER
9484306,gb,TEACH POOLE,KAREN HELEN BEEL,2,TRUE,director,01/09/15,,,HEAD OF SCHOOL
9484306,gb,TEACH POOLE,KAREN HELEN BEEL,2,FALSE,director,01/09/15,14/03/16,,HEAD OF SCHOOL
7827368,gb,CENTRAL LEARNING PARTNERSHIP TRUST,KAREN LESLEY NEWEY,2,TRUE,secretary,01/09/13,,,
7827368,gb,CENTRAL LEARNING PARTNERSHIP TRUST,KAREN LESLEY NEWEY,2,FALSE,director,01/01/14,28/01/15,,OPERATIONS DIRECTOR
8340120,gb,THE PROPELLER ACADEMY TRUST,KARYN TERESA BUCK,2,TRUE,director,14/01/13,14/01/13,,DIRECTOR
8340120,gb,THE PROPELLER ACADEMY TRUST,KARYN TERESA BUCK,2,FALSE,director,01/02/13,,,MANAGING DIRECTOR
9484306,gb,TEACH POOLE,KATHERINE MARY HASLER,2,TRUE,director,01/09/15,,,HEAD OF SCHOOL
9484306,gb,TEACH POOLE,KATHERINE MARY HASLER,2,FALSE,director,01/09/15,01/09/16,,HEAD OF SCHOOL
2336587,gb,LEIGH ACADEMIES TRUST,KATHRYN ROSEMARY MERRIN,2,TRUE,director,01/09/15,,,COMPANY DIRECTOR
2336587,gb,LEIGH ACADEMIES TRUST,KATHRYN ROSEMARY MERRIN,2,FALSE,director,01/09/15,31/08/16,,COMPANY DIRECTOR
6625091,gb,ACADEMIES ENTERPRISE TRUST,KEITH ROGER LOMAX,2,TRUE,director,09/04/13,,,INTERNAL AUDITOR
6625091,gb,ACADEMIES ENTERPRISE TRUST,KEITH ROGER LOMAX,2,FALSE,director,09/04/13,25/05/16,,INTERNAL AUDITOR
2336587,gb,LEIGH ACADEMIES TRUST,KENNETH FRANK MARTIN LEADBEATER,2,TRUE,director,19/01/93,19/01/94,,ACCOUNTANT
2336587,gb,LEIGH ACADEMIES TRUST,KENNETH FRANK MARTIN LEADBEATER,2,FALSE,director,13/03/03,17/02/06,,DIRECTOR
7690776,gb,STRATFORD-UPON-AVON SCHOOL,KERRY LOUISE WEST,2,TRUE,director,26/01/12,,,DOCTOR
7690776,gb,STRATFORD-UPON-AVON SCHOOL,KERRY LOUISE WEST,2,FALSE,director,26/01/12,12/07/16,,DOCTOR
8905350,gb,WOODFIELD SCHOOL,KETAN SHETH,2,TRUE,director,02/06/14,,,SOLICITOR
8905350,gb,WOODFIELD SCHOOL,KETAN SHETH,2,TRUE,director,02/06/14,31/08/15,,SOLICITOR
8905350,gb,WOODFIELD SCHOOL,KEVIN PORTER,2,TRUE,director,08/06/15,,,NONE
8905350,gb,WOODFIELD SCHOOL,KEVIN PORTER,2,FALSE,director,08/06/15,31/08/15,,NONE
9484306,gb,TEACH POOLE,LAWRENCE GEORGE LEWIS,2,TRUE,director,11/03/15,,,FINANCE MANAGER
9484306,gb,TEACH POOLE,LAWRENCE GEORGE LEWIS,2,FALSE,director,11/03/15,07/09/16,,FINANCE MANAGER
8906809,gb,EASTERSIDE ACADEMY,LESLEY JAMES,2,TRUE,director,21/02/14,16/06/15,,OFFICE MANAGER
8906809,gb,EASTERSIDE ACADEMY,LESLEY JAMES,2,FALSE,director,02/12/15,,,ADMINISTRATOR
7348231,gb,THE KEMNAL ACADEMIES TRUST,LESLEY ROBINS,2,TRUE,director,16/03/11,,,RETIRED
7348231,gb,THE KEMNAL ACADEMIES TRUST,LESLEY ROBINS,2,FALSE,director,16/03/11,04/07/16,,RETIRED
7697158,gb,WEST KIRBY GRAMMAR SCHOOL,LIAM PETER HAYES,2,TRUE,director,02/10/13,,,IT STRATEGY LEADER
7697158,gb,WEST KIRBY GRAMMAR SCHOOL,LIAM PETER HAYES,2,FALSE,director,02/10/13,31/05/16,,IT STRATEGY LEADER
8451749,gb,REACH2KENT ACADEMY TRUST,LINDSEY JANE DIAMOND,2,TRUE,director,01/01/14,17/11/14,,EXECUTIVE PRINCIPAL
8451749,gb,REACH2KENT ACADEMY TRUST,LINDSEY JANE DIAMOND,2,FALSE,director,01/04/14,,,EXECUTIVE PRINCIPAL
7929429,gb,CHIPPING NORTON SCHOOL ACADEMY TRUST,MADELEINE MARY THERESA RICKARD,2,TRUE,secretary,03/03/12,,,
7929429,gb,CHIPPING NORTON SCHOOL ACADEMY TRUST,MADELEINE MARY THERESA RICKARD,2,FALSE,secretary,03/03/12,15/07/16,,
2336587,gb,LEIGH ACADEMIES TRUST,MARION JANE CHARLTON,2,TRUE,secretary,10/01/12,31/08/12,,
2336587,gb,LEIGH ACADEMIES TRUST,MARION JANE CHARLTON,2,FALSE,director,14/09/09,02/01/12,,RISK MANAGER/ACCOUNTANT
7543874,gb,KENNET SCHOOL ACADEMIES TRUST,MARTIN EDWARD KEOGH,2,TRUE,director,24/09/12,21/01/14,,TEACHER
7543874,gb,KENNET SCHOOL ACADEMIES TRUST,MARTIN EDWARD KEOGH,2,FALSE,director,01/04/16,,,TEACHER
7617529,gb,CREATIVE EDUCATION TRUST,MARY JOSEPHINE GROOM,2,FALSE,director,04/10/13,,,SOLICITOR
8033193,gb,THE WROXHAM FOUNDATION,MARY JOSEPHINE GROOM,2,FALSE,director,20/11/12,27/04/14,,SOLICITOR
7588104,gb,SYNAPTIC TRUST,MICHAEL EDWARD GEORGE,2,TRUE,director,19/06/14,,,RETIRED
7588104,gb,SYNAPTIC TRUST,MICHAEL EDWARD GEORGE,2,FALSE,director,19/06/14,14/06/16,,RETIRED
7430317,gb,REDHILL ACADEMY TRUST,MICHAEL RICHARD PAYNE,2,TRUE,director,01/09/15,,,COUNCILLOR
7430317,gb,REDHILL ACADEMY TRUST,MICHAEL RICHARD PAYNE,2,FALSE,director,19/09/11,03/10/11,,NONE
8098007,gb,THE ASCENT ACADEMIES' TRUST,MICHELLE QUINN,2,TRUE,director,03/12/14,,,COMPANY DIRECTOR
8098007,gb,THE ASCENT ACADEMIES' TRUST,MICHELLE QUINN,2,FALSE,director,23/02/15,23/02/15,,COMPANY DIRECTOR
7588104,gb,SYNAPTIC TRUST,MYRA PRAHALAD,2,TRUE,director,18/07/13,,,HOME MAKER
7588104,gb,SYNAPTIC TRUST,MYRA PRAHALAD,2,FALSE,director,18/07/13,14/06/16,,HOME MAKER
7386086,gb,SCHOOL PARTNERSHIP TRUST ACADEMIES,NATALIE PHOEBE COX,2,TRUE,director,18/12/14,,,CONSULTANT
7386086,gb,SCHOOL PARTNERSHIP TRUST ACADEMIES,NATALIE PHOEBE COX,2,FALSE,director,18/12/14,15/06/16,,CONSULTANT
8179242,gb,THE STOUR ACADEMY TRUST,NEIL RUSSELL FISHER,2,TRUE,director,01/03/13,,,NATIONAL HEALTH SERVICE WORKER
8179242,gb,THE STOUR ACADEMY TRUST,NEIL RUSSELL FISHER,2,FALSE,director,01/03/13,01/07/16,,NATIONAL HEALTH SERVICE WORKER
8253770,gb,THE BISHOP KONSTANT CATHOLIC ACADEMY TRUST,NICOLA LOUISE BOWIE,2,TRUE,director,02/07/15,,,DERMATOLOGY ACCOUNT MANAGER
8253770,gb,THE BISHOP KONSTANT CATHOLIC ACADEMY TRUST,NICOLA LOUISE BOWIE,2,FALSE,director,02/04/14,07/10/14,,DERMATOLOGY ACCOUNT MANAGER
8438686,gb,PLYMOUTH CAST,NIGEL JAMES PITT,2,TRUE,director,11/12/13,,,RETIRED
8438686,gb,PLYMOUTH CAST,NIGEL JAMES PITT,2,FALSE,director,11/12/13,16/03/16,,RETIRED
7944160,gb,THE DIOCESE OF WESTMINSTER ACADEMY TRUST,PAUL ANDREW QUINN,2,FALSE,director,01/09/12,,,MANAGING DIRECTOR
9148738,gb,LEARNING IN HARMONY MULTI ACADEMY TRUST,PAUL ANDREW QUINN,2,FALSE,director,09/09/14,,,SCHOOL BUSINESS MANAGER
8840373,gb,THE HARMONY TRUST LTD,PAUL ANTHONY MAKIN,2,FALSE,director,13/06/16,,,EXECUTIVE DIRECTOR
8098007,gb,THE ASCENT ACADEMIES' TRUST,PAUL ANTHONY MAKIN,2,FALSE,director,01/10/15,,,EDUCATIONAL CONSULTANT
8399801,gb,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,PAUL ANTHONY OWENS,2,TRUE,director,12/02/13,,,PRIEST
8399801,gb,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,PAUL ANTHONY OWENS,2,FALSE,director,12/02/13,22/07/16,,PRIEST
9482572,gb,THE CARDINAL VAUGHAN MEMORIAL SCHOOL,PAUL FRANCIS FLYNN,2,TRUE,director,10/03/15,,,BUSINESS ANALYST
9482572,gb,THE CARDINAL VAUGHAN MEMORIAL SCHOOL,PAUL FRANCIS FLYNN,2,FALSE,director,10/03/15,11/03/16,,BUSINESS ANALYST
8195720,gb,THE WHITE HILLS PARK FEDERATION TRUST,PAUL HEERY,2,TRUE,director,01/01/14,,,EXECUTIVE HEADTEACHER
8195720,gb,THE WHITE HILLS PARK FEDERATION TRUST,PAUL HEERY,2,FALSE,director,17/10/12,23/06/13,,HEADTEACHER
8076374,gb,FLYING HIGH TRUST,PAUL HENRY BENNETT,2,TRUE,secretary,19/06/13,07/04/15,,
8076374,gb,FLYING HIGH TRUST,PAUL HENRY BENNETT,2,FALSE,director,24/03/15,,,EDUCATION CONSULTANT
7386086,gb,SCHOOL PARTNERSHIP TRUST ACADEMIES,PAUL HIRST,2,TRUE,director,07/10/14,,,CONSULTANT
7386086,gb,SCHOOL PARTNERSHIP TRUST ACADEMIES,PAUL HIRST,2,FALSE,director,23/09/10,12/09/11,,SELF-EMPLOYED EDUCATION CONSULTANT
8441736,gb,FREEMAN'S ENDOWED CHURCH OF ENGLAND JUNIOR ACADEMY,PAUL JOHN STUART,2,TRUE,director,12/03/13,,,IT CONTRACTOR
8441736,gb,FREEMAN'S ENDOWED CHURCH OF ENGLAND JUNIOR ACADEMY,PAUL JOHN STUART,2,FALSE,director,10/02/14,,,RETIRED
8399801,gb,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,PAUL NICHOLAS REED,2,TRUE,director,12/02/13,,,RETIRED
8399801,gb,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,PAUL NICHOLAS REED,2,FALSE,director,12/02/13,22/07/16,,RETIRED
7690776,gb,STRATFORD-UPON-AVON SCHOOL,PETER WHYMAN,2,TRUE,director,26/01/12,,,E-FORENSIC INVESTIGATOR
7690776,gb,STRATFORD-UPON-AVON SCHOOL,PETER WHYMAN,2,FALSE,director,26/01/12,14/09/16,,E-FORENSIC INVESTIGATOR
8589470,gb,WHITE WOODS PRIMARY ACADEMY TRUST,PHILIP MARSHALL,2,FALSE,director,11/03/16,,,COMPANY DIRECTOR
7827368,gb,CENTRAL LEARNING PARTNERSHIP TRUST,PHILIP MARSHALL,2,FALSE,director,01/09/13,,,EDUCATION CONSULTANT
8399801,gb,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,PHILIPPA MARY MONAGHAN,2,TRUE,director,12/02/13,,,TEACHER
